fetched_at,phrase,region_name,region_id,region_type,device,kind,rank,nested_phrase,count,total_count
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,1,евгеника,879,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,2,пюник,133,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,3,irynakournikova,13,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,4,sh0tnik,4,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,5,aynikorgg,6,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,6,щаница,10,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,7,факеравтогрупп,3,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,8,анастасян,316,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,9,korobeynikov,5,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,10,жконика,1,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,11,пшенников,34,1
2026-09-09,ovsyannikov,Волгоградская область,10950,campaign,DEVICE_ALL,association,12,яишницу,42,1
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,1,евгеника,834,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,2,пюник,97,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,3,sh0tnik,14,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,4,aynikorgg,8,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,5,щаница,14,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,6,факеравтогрупп,1,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,7,анастасян,221,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,8,жконика,3,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,9,ashniko,6,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,10,пшенников,39,3
2026-09-09,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,11,яишницу,35,3
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,1,евгеника,338,2
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,2,пюник,35,2
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,3,irynakournikova,14,2
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,4,sh0tnik,3,2
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,5,щаница,11,2
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,6,анастасян,198,2
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,7,жконика,3,2
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,8,пшенников,2322,2
2026-09-09,ovsyannikov,Рязанская область,10776,campaign,DEVICE_ALL,association,9,яишницу,9,2
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,1,евгеника,393,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,2,пюник,14,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,3,irynakournikova,8,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,4,sh0tnik,7,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,5,щаница,3,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,6,юмнико,3,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,7,анастасян,174,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,8,korobeynikov,1,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,9,жконика,3,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,10,ashniko,1,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,11,пшенников,22,1
2026-09-09,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,12,яишницу,16,1
2026-09-09,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,1,евгеника,694,2
2026-09-09,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,2,пюник,84,2
2026-09-09,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,3,irynakournikova,5,2
2026-09-09,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,4,sh0tnik,11,2
2026-09-09,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,5,aynikorgg,1,2
2026-09-09,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,6,щаница,1,2
2026-09-09,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,7,факеравтогрупп,2,2
