fetched_at,phrase,region_name,region_id,region_type,device,kind,rank,nested_phrase,count,total_count
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,1,kosmetista,2,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,2,эксфолиант что это,5,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,3,эксфолиант это,5,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,5,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,5,косметическое масло,244,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,33,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,7,средства для ухода за лицом bioderma,1,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,8,kisy cosmetics,2,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,9,эксфолиант что это такое,2,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,10,средства для ухода за лицом,90,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,11,косметические средства,230,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,12,тональное средство,165,20
2026-09-23,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,13,косметическая основа,16,20
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,1,kosmetista,22,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,2,эксфолиант что это,37,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,3,эксфолиант это,47,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,12,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,5,косметическое масло,409,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,45,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,3,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,8,эксфолиант что это такое,2,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,9,средства для ухода за лицом,181,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,10,косметические средства,336,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,11,тональное средство,123,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,12,что такое лосьон для лица,1,82
2026-09-23,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,13,косметическая основа,12,82
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,1,kosmetista,7,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,2,эксфолиант что это,23,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,3,эксфолиант это,33,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,4,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,5,косметическое масло,410,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,37,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,2,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,8,средства для ухода за лицом bioderma,2,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,9,kisy cosmetics,6,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,10,эксфолиант что это такое,1,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,11,машнит косметикс,1,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,12,средства для ухода за лицом,193,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,13,косметические средства,345,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,14,тональное средство,279,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,15,что такое лосьон для лица,2,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,16,косметическая основа,11,123
2026-09-23,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,17,podonail cosmetics,1,123
2026-09-23,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,1,эксфолиант что это,2,16
